,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
71,71.0,Australia,8362,+107,104.0,,7355.0,+36,903.0,4.0,328.0,4.0,2667064.0,104585.0,25501388.0,3050.0,245206.0,10.0
72,72.0,Kenya,7577,+389,159.0,+5,2236.0,+88,5182.0,29.0,141.0,3.0,185035.0,3441.0,53770877.0,7097.0,338182.0,291.0
73,73.0,El Salvador,7507,+240,210.0,+8,4434.0,+166,2863.0,215.0,1157.0,32.0,172455.0,26587.0,6486480.0,864.0,30888.0,38.0
74,74.0,DRC,7379,+68,182.0,+3,2961.0,+277,4236.0,,82.0,2.0,,,89548102.0,12136.0,492023.0,
75,75.0,Senegal,7272,+108,129.0,+4,4713.0,+47,2430.0,38.0,434.0,8.0,82857.0,4949.0,16742747.0,2302.0,129789.0,202.0
76,76.0,Finland,7248,+6,329.0,,6700.0,,219.0,,1308.0,59.0,251600.0,45409.0,5540807.0,764.0,16841.0,22.0
77,77.0,Kyrgyzstan,7094,+327,78.0,+2,2714.0,+59,4302.0,24.0,1087.0,12.0,228857.0,35077.0,6524470.0,920.0,83647.0,29.0
78,78.0,North Macedonia,6932,+145,334.0,+6,2987.0,+111,3611.0,55.0,3327.0,160.0,64837.0,31121.0,2083373.0,301.0,6238.0,32.0
79,79.0,Venezuela,6537,,59.0,,2100.0,,4378.0,11.0,230.0,2.0,1297586.0,45633.0,28434951.0,4350.0,481948.0,22.0
80,80.0,Haiti,6230,+129,110.0,,1286.0,+145,4834.0,,546.0,10.0,12435.0,1090.0,11403193.0,1830.0,103665.0,917.0
81,81.0,Tajikistan,6058,,52.0,,4690.0,,1316.0,,635.0,5.0,,,9537520.0,1574.0,183414.0,
82,82.0,Ethiopia,5846,,103.0,,2430.0,,3313.0,35.0,51.0,0.9,250604.0,2180.0,114958401.0,19664.0,1116101.0,459.0
83,83.0,Gabon,5620,,44.0,,2555.0,,3021.0,10.0,2525.0,20.0,39668.0,17823.0,2225671.0,396.0,50583.0,56.0
84,84.0,Guinea,5521,,33.0,,4446.0,,1042.0,24.0,420.0,3.0,14407.0,1097.0,13131693.0,2378.0,397930.0,911.0
85,85.0,Bulgaria,5497,,239.0,,2892.0,,2366.0,29.0,791.0,34.0,150062.0,21599.0,6947685.0,1264.0,29070.0,46.0
86,86.0,Bosnia and Herzegovina,4962,,191.0,,2550.0,,2221.0,4.0,1513.0,58.0,97736.0,29793.0,3280535.0,661.0,17176.0,34.0
87,87.0,Djibouti,4736,,55.0,,4580.0,,101.0,,4793.0,56.0,47491.0,48065.0,988051.0,209.0,17965.0,21.0
88,88.0,Mauritania,4705,,129.0,,1765.0,,2811.0,21.0,1012.0,28.0,13842.0,2977.0,4649335.0,988.0,36041.0,336.0
89,89.0,French Guiana,4558,,16.0,,1777.0,,2765.0,26.0,15261.0,54.0,8707.0,29153.0,298663.0,66.0,18666.0,34.0
90,90.0,Luxembourg,4476,+29,110.0,,4016.0,,350.0,3.0,7150.0,176.0,219471.0,350590.0,626005.0,140.0,5691.0,3.0
91,91.0,Costa Rica,4311,,18.0,,1657.0,,2636.0,10.0,846.0,4.0,44917.0,8817.0,5094413.0,1182.0,283023.0,113.0
92,92.0,Hungary,4174,+2,589.0,+1,2784.0,+32,801.0,8.0,432.0,61.0,281628.0,29154.0,9660054.0,2314.0,16401.0,34.0
93,93.0,CAR,3918,,48.0,,859.0,,3011.0,859.0,811.0,10.0,25031.0,5182.0,4829943.0,1233.0,100624.0,193.0
94,94.0,Palestine,3599,+265,12.0,+1,463.0,,3124.0,,706.0,2.0,84621.0,16588.0,5101295.0,1417.0,425108.0,60.0
95,95.0,Greece,3511,+25,192.0,,1374.0,,1945.0,11.0,337.0,18.0,331703.0,31826.0,10422379.0,2968.0,54283.0,31.0
96,96.0,Thailand,3185,+5,58.0,,3066.0,,61.0,1.0,46.0,0.8,603657.0,8648.0,69801669.0,21916.0,1203477.0,116.0
97,97.0,Croatia,3094,+86,113.0,+1,2183.0,+15,798.0,3.0,754.0,28.0,84166.0,20504.0,4104916.0,1327.0,36327.0,49.0
98,98.0,Equatorial Guinea,3071,,51.0,,842.0,,2178.0,,2189.0,36.0,16000.0,11407.0,1402697.0,457.0,27504.0,88.0
99,99.0,Somalia,2944,,90.0,,951.0,,1903.0,2.0,185.0,6.0,,,15891663.0,5398.0,176574.0,
100,100.0,Albania,2819,+67,74.0,+2,1637.0,+45,1108.0,8.0,980.0,26.0,24601.0,8549.0,2877761.0,1021.0,38889.0,117.0
101,101.0,Madagascar,2728,+216,29.0,+3,1078.0,+21,1621.0,31.0,99.0,1.0,23244.0,839.0,27689361.0,10150.0,954806.0,1191.0
102,102.0,Mayotte,2661,,35.0,,2375.0,,251.0,3.0,9754.0,128.0,8800.0,32257.0,272805.0,103.0,7794.0,31.0
103,103.0,Nicaragua,2519,,83.0,,1238.0,,1198.0,,380.0,13.0,,,6624943.0,2630.0,79819.0,
104,104.0,Maldives,2410,,10.0,,1976.0,,424.0,12.0,4458.0,18.0,53867.0,99650.0,540563.0,224.0,54056.0,10.0
105,105.0,Cuba,2369,+8,86.0,,2227.0,+3,56.0,2.0,209.0,8.0,180697.0,15953.0,11326539.0,4781.0,131704.0,63.0
106,106.0,Paraguay,2349,,19.0,,1113.0,,1217.0,4.0,329.0,3.0,74088.0,10387.0,7132953.0,3037.0,375419.0,96.0
107,107.0,Mali,2285,,117.0,,1507.0,,661.0,,113.0,6.0,12807.0,632.0,20248495.0,8861.0,173064.0,1581.0
108,108.0,Sri Lanka,2074,+5,11.0,,1885.0,+22,178.0,1.0,97.0,0.5,110505.0,5160.0,21414041.0,10325.0,1946731.0,194.0
109,109.0,South Sudan,2021,,38.0,,333.0,,1650.0,,181.0,3.0,10824.0,967.0,11194384.0,5539.0,294589.0,1034.0
110,110.0,Estonia,1993,+2,69.0,,1870.0,+11,54.0,2.0,1502.0,52.0,108801.0,82018.0,1326544.0,666.0,19225.0,12.0
111,111.0,Lebanon,1855,+25,35.0,,1304.0,+12,516.0,5.0,272.0,5.0,144418.0,21160.0,6825046.0,3679.0,195001.0,47.0
112,112.0,Iceland,1855,,10.0,,1832.0,,13.0,,5436.0,29.0,74424.0,218086.0,341260.0,184.0,34126.0,5.0
